matrix,type,procs,time,comp,comm,speedup,eff,flops,mem,imb,min,max
10K,opt,1,0.253229,0.252628,0.000548363,1.0000,100.00,0,0,0,0,0
10K,opt,2,0.144205,0.119624,0.024538,1.7560,87.80,0,0,0,0,0
40K,opt,1,0.140495,0.140023,0.000424385,1.0000,100.00,0,0,0,0,0
40K,opt,2,0.195193,0.0769138,0.118227,0.7198,35.99,0,0,0,0,0
40K,opt,4,0.0992203,0.0385952,0.0605774,1.4160,35.40,0,0,0,0,0
108K,opt,1,9.25535,9.25313,0.00202179,1.0000,100.00,0,0,0,0,0
108K,opt,2,4.30721,4.00795,0.299029,2.1488,107.44,0,0,0,0,0
108K,opt,4,2.2756,1.68567,0.589881,4.0672,101.68,0,0,0,0,0
108K,opt,8,1.57469,1.10689,0.467734,5.8776,73.47,0,0,0,0,0
217K,opt,1,9.51928,9.51754,0.0015974,1.0000,100.00,0,0,0,0,0
217K,opt,2,4.85998,4.07272,0.787196,1.9587,97.94,0,0,0,0,0
217K,opt,4,2.73379,2.08029,0.65341,3.4821,87.05,0,0,0,0,0
217K,opt,8,1.94239,1.15164,0.790644,4.9008,61.26,0,0,0,0,0
217K,opt,16,1.87251,0.537009,1.3354,5.0837,31.77,0,0,0,0,0
377K,opt,1,22.4263,22.4237,0.00234127,1.0000,100.00,0,0,0,0,0
377K,opt,2,11.6981,11.2241,0.473804,1.9171,95.85,0,0,0,0,0
377K,opt,4,6.10182,5.44961,0.652137,3.6753,91.88,0,0,0,0,0
377K,opt,8,4.38038,2.92756,1.45272,5.1197,64.00,0,0,0,0,0
377K,opt,16,2.73253,1.21313,1.51935,8.2072,51.29,0,0,0,0,0
377K,opt,32,2.08272,1.02528,1.05731,10.7678,33.65,0,0,0,0,0
504K,opt,1,15.0293,15.0257,0.00322819,1.0000,100.00,0,0,0,0,0
504K,opt,2,10.2633,7.57475,2.68842,1.4644,73.22,0,0,0,0,0
504K,opt,4,4.61124,2.85992,1.75125,3.2593,81.48,0,0,0,0,0
504K,opt,8,3.57454,1.51863,2.05583,4.2045,52.56,0,0,0,0,0
504K,opt,16,3.05878,1.07127,1.98747,4.9135,30.71,0,0,0,0,0
504K,opt,32,2.17799,0.954151,1.22376,6.9005,21.56,0,0,0,0,0
504K,opt,64,1.56723,0.435963,1.13122,9.5897,14.98,0,0,0,0,0
1219K,opt,1,10.3216,10.3182,0.00303745,1.0000,100.00,0,0,0,0,0
1219K,opt,2,11.0151,5.48879,5.5262,0.9370,46.85,0,0,0,0,0
1219K,opt,4,7.42331,3.14728,4.27587,1.3904,34.76,0,0,0,0,0
1219K,opt,8,5.57104,2.44901,3.12194,1.8527,23.16,0,0,0,0,0
1219K,opt,16,3.6736,1.76744,1.90605,2.8097,17.56,0,0,0,0,0
1219K,opt,32,1.99328,0.919704,1.07347,5.1782,16.18,0,0,0,0,0
1219K,opt,64,1.28101,0.334072,0.946846,8.0574,12.59,0,0,0,0,0
1219K,opt,128,229.677,0.151753,229.525,0.0449,0.04,0,0,0,0,0
2380K,opt,1,26.6153,26.6114,0.00353336,1.0000,100.00,0,0,0,0,0
2380K,opt,2,19.8256,11.0323,8.79303,1.3425,67.12,0,0,0,0,0
2380K,opt,4,17.1784,7.71099,9.46707,1.5493,38.73,0,0,0,0,0
2380K,opt,8,13.4889,7.3993,6.08947,1.9731,24.66,0,0,0,0,0
2380K,opt,16,9.18341,4.64166,4.54158,2.8982,18.11,0,0,0,0,0
2380K,opt,32,4.6136,2.28792,2.32551,5.7689,18.03,0,0,0,0,0
2380K,opt,64,3.40347,1.07223,2.33114,7.8200,12.22,0,0,0,0,0
2380K,opt,128,38.8305,0.5232,38.3072,0.6854,0.54,0,0,0,0,0
2380K,opt,256,618.913,0.212464,618.7,0.0430,0.02,0,0,0,0,0
